id,tokens,ner_tags
0,"                               Fuite


     TRANTOR — ... capitale du premier Empire Galactique...
C’est sous le règne de <PER> Cléon Ier </PER>  qu’elle a « jeté ses derniers
feux ».","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"Selon toute apparence, elle était alors à son apogée.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"Ses
200 millions de kilomètres carrés de terres émergées étaient
entièrement recouverts de dômes (hormis le domaine du Palais
impérial) sous lesquels se développait en continu une cité qui
s’étendait au-dessous des plates-formes continentales.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"La
population était de quarante milliards d’habitants et, même si
de nombreux signes (clairement visibles avec le recul)
annonçaient les problèmes qui s’amassaient, ceux qui vivaient
sur Trantor la considéraient sans aucun doute comme la
planète éternelle des légendes et ne s’attendaient certainement
pas à...

                                ENCYCLOPAEDIA GALACTICA



     <PER> Seldon </PER>  leva les yeux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0]"
4,"Un jeune homme se tenait devant lui,
le considérant de toute sa hauteur, avec un mépris amusé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"Près
de lui se trouvait un autre jeune homme – un peu plus jeune,
peut-être.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"Tous deux étaient imposants et paraissaient
vigoureux.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"Ils étaient vêtus à la dernière mode trantorienne, estima
<PER> Seldon </PER>  : couleurs vives et bariolées, larges ceintures à franges,
chapeaux ronds à large bord et ruban rosé vif dont les deux
bouts descendaient sur la nuque.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"Aux yeux de <PER> Seldon </PER> , c’était amusant, et il sourit.","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"Le jeune homme devant lui aboya : « Qu’est-ce qu’il y a de
drôle, tordu ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"»



     Coup d’œil du jeune homme à son partenaire : « T’aimes
bien ses fringues, <PER> Marbie </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
11,"»
     <PER> Marbie </PER>  parla pour la première fois : « Non.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,Écœurant.,"[0, 0, 0, 0]"
